date,timestamp,TotalCashValue,NetDividend,NetLiquidation,UnrealizedPnL,RealizedPnL,GrossPositionValue,AvailableFunds,ExcessLiquidity,BuyingPower,Leverage,EquityWithLoanValue,QQQ position,QQQ marketPrice,QQQ averageCost,QQQ marketValue,QQQ realizedPNL,QQQ unrealizedPNL,QQQ initMarginReq,QQQ maintMarginReq,QQQ costBasis,SPY position,SPY marketPrice,SPY averageCost,SPY marketValue,SPY realizedPNL,SPY unrealizedPNL,SPY initMarginReq,SPY maintMarginReq,SPY costBasis
2022-01-26 16:48:55.914362,1643186935.914362,3877910.45,0.00,7471587.22,-216965.44,0.00,3593676.77,7024745.04,7065367.06,46831633.59,0.48,7471587.22,1338.0,344.67001345,365.49775035,461168.48,0.0,-27867.51,,,,1.0,433.69900515,435.06,433.7,0.0,-1.36,,,
2022-01-26 16:50:50.077336,1643187050.077336,3878072.44,0.00,7471899.32,-216974.51,0.00,3593826.88,7025038.48,7065662.19,46833589.83,0.48,7471899.32,1338.0,344.67001345,365.49775035,461168.48,0.0,-27867.51,,,,1.0,433.69900515,435.06,433.7,0.0,-1.36,,,
2022-01-26 16:51:27.517891,1643187087.517891,3878072.44,0.00,7471899.32,-216974.51,0.00,3593826.88,7025038.48,7065662.19,46833589.83,0.48,7471899.32,1338.0,344.67001345,365.49775035,461168.48,0.0,-27867.51,,,,1.0,433.69900515,435.06,433.7,0.0,-1.36,,,
2022-01-26 17:06:22.903937,1643187982.903937,3878358.88,0.00,7524787.12,-164654.63,0.00,3646428.24,7077893.27,7118519.98,47185955.13,0.48,7524787.12,1338.0,349.69000245,365.49775035,467885.22,0.0,-21150.77,,,,1.0,438.6414795,435.06,438.64,0.0,3.58,,,
2022-01-26 17:07:10.663760,1643188030.66376,3872192.24,0.00,7524433.61,-164983.18,0.00,3652241.38,7076849.14,7117538.64,47178994.29,0.49,7524433.61,1339.0,349.66000365,365.48669905,468194.74,0.0,-21191.95,,,,2.0,438.62228395,437.375,877.24,0.0,2.49,,,
2022-01-26 17:07:48.507867,1643188068.507867,3878315.12,0.00,7525461.27,-163827.24,-128.28,3647146.15,7078568.87,7119195.45,47190459.10,0.48,7525461.27,1338.0,349.76000975,365.48669905,467978.89,-16.76,-21042.31,,,,1.0,438.6960449,437.375,438.7,0.28,1.32,,,
2022-01-26 17:22:00.278194,1643188920.278194,3878227.95,0.00,7534568.23,-154547.46,-128.28,3656340.28,7087685.87,7128311.54,47251239.14,0.49,7534568.23,1338.0,350.6499939,365.48669905,469169.69,-16.76,-19851.51,,,,1.0,439.29104615,437.375,439.29,0.28,1.92,,,
2022-01-26 17:54:20.498580,1643190860.49858,3878763.55,0.00,7543636.55,-146541.04,-128.30,3664873.00,7096692.48,7137323.76,47311283.18,0.49,7543636.55,1338.0,351.42001345,365.48669905,470199.98,-16.76,-18821.23,,,,1.0,439.92401125,437.375,439.92,0.28,2.55,,,
2022-01-26 17:55:05.623115,1643190905.623115,3872736.99,0.00,7542242.85,-148230.94,-128.30,3669505.86,7094589.38,7135285.15,47297262.55,0.49,7542242.85,1339.0,351.26000975,365.476821,470337.15,-16.76,-19036.31,,,,2.0,439.77316285,439.0975,879.55,0.28,1.35,,,
2022-01-26 17:55:43.523995,1643190943.523995,3878878.96,0.00,7541181.82,-149168.47,-251.80,3662302.86,7094220.54,7134853.38,47294803.57,0.49,7541181.82,1338.0,351.16000365,365.476821,469852.08,-32.13,-19155.9,,,,1.0,439.64797975,439.0975,439.65,-0.21,0.55,,,
2022-01-26 17:59:22.915120,1643191162.91512,3878891.31,0.00,7541309.33,-149065.45,-251.80,3662418.02,7094346.62,7134979.59,47295644.11,0.49,7541309.33,1338.0,351.17001345,365.476821,469865.48,-32.13,-19142.51,,,,1.0,439.5447693,439.0975,439.54,-0.21,0.45,,,
2022-01-26 18:00:08.006911,1643191208.006911,3872745.69,0.00,7538943.57,-151480.66,-251.80,3666197.88,7091285.80,7131981.96,47275238.65,0.49,7538943.57,1339.0,350.94000245,365.46672625,469908.66,-32.13,-19451.28,,,,2.0,439.35943605,439.75875,878.72,-0.21,-0.8,,,
2022-01-26 18:00:45.878994,1643191245.878994,3878920.80,0.00,7538582.83,-151782.55,-384.58,3659662.03,7091612.95,7132246.57,47277419.64,0.49,7538582.83,1338.0,350.8999939,365.46672625,469504.19,-47.73,-19490.29,,,,1.0,439.3847351,439.75875,439.38,-1.66,-0.37,,,
2022-01-26 18:02:04.931672,1643191324.931672,3878908.45,0.00,7536473.69,-153867.20,-384.58,3657565.24,7089505.23,7130138.73,47263368.21,0.49,7536473.69,1338.0,350.7000122,365.46672625,469236.62,-47.73,-19757.86,,,,1.0,439.2036133,439.75875,439.2,-1.66,-0.56,,,
2022-01-26 18:03:02.227459,1643191382.227459,3872310.42,0.00,7533315.82,-156160.99,-384.53,3661005.40,7085705.47,7126397.32,47238036.45,0.49,7533315.82,1339.0,350.480011,365.45630305,469292.73,-47.73,-20053.26,,,,2.0,438.835968,439.819375,877.67,-1.66,-1.97,,,
2022-01-26 18:03:40.099226,1643191420.099226,3878393.97,0.00,7535291.88,-153949.15,-521.41,3656897.91,7088379.39,7129007.80,47255862.59,0.49,7535291.88,1338.0,350.6799927,365.45630305,469209.83,-63.54,-19770.7,,,,1.0,439.10494995,439.819375,439.1,-3.42,-0.71,,,
2022-01-26 18:04:33.200352,1643191473.200352,3878393.97,0.00,7535604.61,-153636.43,-521.41,3657210.64,7088692.12,7129320.52,47257947.44,0.49,7535604.61,1338.0,350.70999145,365.45630305,469249.97,-63.54,-19730.56,,,,1.0,439.12960815,439.819375,439.13,-3.42,-0.69,,,
2022-01-26 18:05:18.307142,1643191518.307142,3872190.81,0.00,7535412.07,-153755.03,-521.41,3663221.27,7087811.78,7128502.72,47252078.56,0.49,7535412.07,1339.0,350.7000122,365.44603695,469587.32,-63.54,-19744.93,,,,2.0,439.1199341,439.9946875,878.24,-3.42,-1.75,,,
2022-01-26 18:05:56.186609,1643191556.186609,3878351.30,0.00,7536384.66,-152695.97,-657.32,3658033.37,7089473.60,7130101.88,47263157.32,0.49,7536384.66,1338.0,350.79000855,365.44603695,469357.03,-79.2,-19609.77,,,,1.0,439.22476195,439.9946875,439.22,-5.22,-0.77,,,
2022-01-26 18:06:43.550411,1643191603.550411,3878351.30,0.00,7535654.65,-153425.98,-657.32,3657303.35,7088743.59,7129371.86,47258290.57,0.49,7535654.65,1338.0,350.7200012,365.44603695,469263.36,-79.2,-19703.44,,,,1.0,439.14001465,439.9946875,439.14,-5.22,-0.85,,,
