date,timestamp,TotalCashValue,NetDividend,NetLiquidation,UnrealizedPnL,RealizedPnL,GrossPositionValue,AvailableFunds,ExcessLiquidity,BuyingPower,Leverage,EquityWithLoanValue,QQQ position,QQQ marketPrice,QQQ averageCost,QQQ marketValue,QQQ realizedPNL,QQQ unrealizedPNL,QQQ initMarginReq,QQQ maintMarginReq,QQQ costBasis,SPY position,SPY marketPrice,SPY averageCost,SPY marketValue,SPY realizedPNL,SPY unrealizedPNL,SPY initMarginReq,SPY maintMarginReq,SPY costBasis
2022-01-27 18:13:16.557119,1643278396.557119,3871504.03,0.00,7489677.05,-186044.79,0.00,3618173.02,7018164.94,7061029.67,46787766.24,0.48,7489677.05,1339.0,346.17001345,363.9895855,463521.65,0.0,-23860.41,,,,2.0,433.81210325,442.95,867.62,0.0,-18.28,,,
2022-01-27 18:14:01.970644,1643278441.970644,3865412.20,0.00,7488721.36,-187000.49,0.00,3623309.15,7016486.08,7059416.56,46776573.89,0.48,7488721.36,1340.0,346.07998655,363.9769888,463747.18,0.0,-23981.98,,,,3.0,433.7692566,440.22333335,1301.31,0.0,-19.36,,,
2022-01-27 18:14:39.812738,1643278479.812738,3871508.86,0.00,7488671.64,-186917.68,-206.27,3617162.78,7017155.00,7060020.15,46781033.31,0.48,7488671.64,1339.0,346.0700073,363.9769888,463387.74,-18.91,-23977.45,,,,2.0,433.7038574,440.22333335,867.41,-7.57,-13.04,,,
2022-01-27 18:17:17.869385,1643278637.869385,3871508.86,0.00,7489820.91,-185768.41,-206.27,3618312.05,7018304.27,7061169.42,46788695.11,0.48,7489820.91,1339.0,346.1799927,363.9769888,463535.01,-18.91,-23830.18,,,,2.0,433.8218384,440.22333335,867.64,-7.57,-12.8,,,
2022-01-27 18:17:58.057560,1643278678.05756,3865452.80,0.00,7489459.51,-186203.57,-206.27,3624006.71,7017215.16,7060146.46,46781434.39,0.48,7489459.51,1340.0,346.14001465,363.9644612,463827.62,-18.91,-23884.76,,,,3.0,433.82089235,438.43555555,1301.46,-7.57,-13.84,,,
2022-01-27 18:20:29.497626,1643278829.497626,3865452.80,0.00,7489562.41,-186100.67,-206.27,3624109.61,7017318.06,7060249.36,46782120.39,0.48,7489562.41,1340.0,346.1499939,363.9644612,463840.99,-18.91,-23871.39,,,,3.0,433.7658081,438.43555555,1301.3,-7.57,-14.01,,,
2022-01-27 18:21:36.271187,1643278896.271187,3865452.80,0.00,7489562.41,-186100.67,-206.27,3624109.61,7017318.06,7060249.36,46782120.39,0.48,7489562.41,1340.0,346.1499939,363.9644612,463840.99,-18.91,-23871.39,,,,3.0,433.7658081,438.43555555,1301.3,-7.57,-14.01,,,
2022-01-27 18:37:15.663057,1643279835.663057,3859213.77,0.00,7485396.92,-189970.68,-206.27,3626183.15,7012447.60,7055443.00,46749650.69,0.48,7485396.92,1341.0,345.7799988,363.951654,463690.98,-18.91,-24368.19,,,,4.0,433.8397522,437.55166665,1735.36,-7.57,-14.85,,,
2022-01-27 18:37:53.553237,1643279873.553237,3865274.59,0.00,7487266.23,-187917.60,-390.04,3621991.64,7015040.06,7057969.71,46766933.74,0.48,7487266.23,1340.0,345.95999145,363.951654,463586.39,-37.91,-24108.83,,,,3.0,433.98739625,437.55166665,1301.96,-12.15,-10.69,,,
2022-01-27 18:40:31.634390,1643280031.63439,3865274.59,0.00,7488205.82,-186978.01,-390.04,3622931.23,7015979.65,7058909.30,46773197.64,0.48,7488205.82,1340.0,346.0499878,363.951654,463706.98,-37.91,-23988.23,,,,3.0,433.98739625,437.55166665,1301.96,-12.15,-10.69,,,
2022-01-27 18:41:11.753950,1643280071.75395,3859180.94,0.00,7487981.01,-187202.82,-390.04,3628800.07,7015031.70,7058027.09,46766877.97,0.48,7487981.01,1341.0,346.0299988,363.93908005,464026.23,-37.91,-24016.08,,,,4.0,433.99890135,436.92375,1736.0,-12.15,-11.7,,,
2022-01-27 18:41:49.680571,1643280109.680571,3865239.57,0.00,7486705.65,-188297.22,-571.00,3621466.07,7014479.48,7057409.13,46763196.53,0.48,7486705.65,1340.0,345.91000365,363.93908005,463519.4,-57.0,-24158.96,,,,3.0,433.8294983,436.92375,1301.49,-16.29,-9.28,,,
2022-01-27 18:44:27.784005,1643280267.784005,3865239.57,0.00,7486496.39,-188506.47,-571.00,3621256.82,7014270.22,7057199.87,46761801.47,0.48,7486496.39,1340.0,345.89001465,363.93908005,463492.62,-57.0,-24185.75,,,,3.0,433.8050537,436.92375,1301.42,-16.29,-9.36,,,
2022-01-27 18:45:07.857094,1643280307.857094,3859152.93,0.00,7483342.83,-191660.03,-571.00,3624189.90,7010393.52,7053388.91,46735956.77,0.48,7483342.83,1341.0,345.58999635,363.92615755,463436.19,-57.0,-24588.79,,,,4.0,433.5788574,436.3478125,1734.32,-16.29,-11.08,,,
2022-01-27 18:45:45.780461,1643280345.780461,3865207.83,0.00,7484058.98,-190763.77,-751.12,3618851.15,7011832.81,7054762.46,46745552.08,0.48,7484058.98,1340.0,345.66000365,363.92615755,463184.4,-76.33,-24476.65,,,,3.0,433.6196289,436.3478125,1300.86,-20.08,-8.18,,,
2022-01-27 18:48:23.874876,1643280503.874876,3865207.83,0.00,7483850.31,-190972.44,-751.12,3618642.48,7011624.14,7054553.79,46744160.95,0.48,7483850.31,1340.0,345.64001465,363.92615755,463157.62,-76.33,-24503.43,,,,3.0,433.6196289,436.3478125,1300.86,-20.08,-8.18,,,
2022-01-27 18:49:03.946657,1643280543.946657,3859124.85,0.00,7480382.93,-194439.81,-751.12,3621258.08,7007433.62,7050429.01,46716224.12,0.48,7480382.93,1341.0,345.30999755,363.91307315,463060.71,-76.33,-24946.72,,,,4.0,433.3725891,435.8558594,1733.49,-20.08,-9.93,,,
2022-01-27 18:49:41.825951,1643280581.825951,3865172.43,0.00,7478584.38,-196054.86,-934.62,3613411.96,7006358.21,7049287.87,46709054.77,0.48,7478584.38,1340.0,345.14001465,363.91307315,462487.62,-96.14,-25155.9,,,,3.0,433.1717224,435.85585935,1299.52,-23.82,-8.05,,,
2022-01-27 18:52:19.909223,1643280739.909223,3865172.43,0.00,7477850.67,-196788.57,-934.62,3612678.24,7005624.50,7048554.15,46704163.34,0.48,7477850.67,1340.0,345.0700073,363.91307315,462393.81,-96.14,-25249.71,,,,3.0,433.0505371,435.85585935,1299.15,-23.82,-8.42,,,
2022-01-27 18:53:00.169546,1643280780.169546,3859108.61,0.00,7467478.85,-207160.39,-934.62,3608370.24,6994529.54,7037524.93,46630196.90,0.48,7467478.85,1341.0,344.07998655,363.8990515,461411.26,-96.14,-26577.37,,,,4.0,432.19000245,435.18939455,1728.76,-23.82,-12.0,,,
2022-01-27 18:53:38.062776,1643280818.062776,3865141.15,0.00,7467883.35,-206562.66,-1127.86,3602742.19,6995657.18,7038586.83,46637714.51,0.48,7467883.35,1340.0,344.1199951,363.8990515,461120.79,-116.99,-26503.94,,,,3.0,432.2868042,435.18939455,1296.86,-27.78,-8.71,,,
2022-01-27 18:56:16.124068,1643280976.124068,3865141.15,0.00,7468616.64,-205829.36,-1127.86,3603475.49,6996390.47,7039320.12,46642603.14,0.48,7468616.64,1340.0,344.19000245,363.8990515,461214.6,-116.99,-26410.13,,,,3.0,432.39001465,435.18939455,1297.17,-27.78,-8.4,,,
2022-01-27 18:56:56.248018,1643281016.248018,3858339.13,0.00,7461826.21,-211142.13,-1127.65,3603487.08,6988967.95,7031955.07,46593119.69,0.48,7461826.21,1341.0,343.6799927,363.88476435,460874.87,-116.99,-27094.6,,,,4.0,431.86553955,434.6270459,1727.46,-27.78,-11.05,,,
2022-01-27 18:57:34.173896,1643281054.173896,3864078.05,0.00,7460423.12,-211782.90,-1323.43,3596345.07,6988322.73,7031240.94,46588818.18,0.48,7460423.12,1340.0,343.6000061,363.88476435,460424.01,-138.32,-27181.58,,,,3.0,431.8484192,434.6270459,1295.55,-31.59,-8.34,,,
2022-01-27 19:00:12.292133,1643281212.292133,3864016.07,0.00,7459362.24,-212720.72,-1323.41,3595346.17,6987269.42,7030186.95,46581796.15,0.48,7459362.24,1340.0,343.51000975,363.88476435,460303.41,-138.32,-27302.17,,,,3.0,431.76660155,434.6270459,1295.3,-31.59,-8.58,,,
2022-01-27 19:00:52.342147,1643281252.342147,3857915.33,0.00,7465445.32,-206563.89,-1323.39,3607529.99,6992634.11,7035616.95,46617560.74,0.48,7465445.32,1341.0,344.1000061,363.8707787,461438.11,-138.32,-26512.61,,,,4.0,432.3278198,434.3127844,1729.31,-31.59,-7.94,,,
2022-01-27 19:01:30.409666,1643281290.409666,3863869.73,0.00,7463193.01,-208480.25,-1511.37,3599323.29,6991113.84,7034030.13,46607425.59,0.48,7463193.01,1340.0,343.8999939,363.8707787,460825.99,-159.33,-26760.85,,,,3.0,432.22946165,434.3127844,1296.69,-34.72,-6.25,,,
2022-01-27 19:04:08.522986,1643281448.522986,3863907.10,0.00,7462740.71,-209006.76,-1511.38,3598833.61,6990656.97,7033573.68,46604379.81,0.48,7462740.71,1340.0,343.8500061,363.8707787,460759.01,-159.33,-26827.84,,,,3.0,432.11080935,434.3127844,1296.33,-34.72,-6.61,,,
2022-01-27 19:04:48.596868,1643281488.596868,3857944.91,0.00,7472456.77,-199511.92,-1511.43,3614511.86,6999636.47,7042620.13,46664243.11,0.48,7472456.77,1341.0,344.76000975,363.857318,462323.17,-159.33,-25609.49,,,,4.0,432.93032835,434.2220883,1731.72,-34.72,-5.17,,,
2022-01-27 19:05:26.515252,1643281526.515252,3864036.85,0.00,7472643.57,-199249.79,-1685.41,3608606.72,7000540.15,7043458.64,46670267.65,0.48,7472643.57,1340.0,344.769989,363.857318,461991.79,-179.42,-25577.02,,,,3.0,433.0041809,434.2220883,1299.01,-36.96,-3.65,,,
2022-01-27 19:08:04.640193,1643281684.640193,3864036.85,0.00,7475153.49,-196739.87,-1685.41,3611116.64,7003050.07,7045968.56,46687000.46,0.48,7475153.49,1340.0,345.01000975,363.857318,462313.41,-179.42,-25255.39,,,,3.0,433.2069397,434.2220883,1299.62,-36.96,-3.05,,,
2022-01-27 19:08:44.709435,1643281724.709435,3858035.22,0.00,7474444.52,-197596.79,-1685.44,3616409.30,7001609.02,7044594.07,46677393.47,0.48,7474444.52,1341.0,344.9299927,363.84395685,462551.12,-179.42,-25363.63,,,,4.0,433.1144409,434.19906625,1732.46,-36.96,-4.34,,,
2022-01-27 19:09:22.643947,1643281762.643947,3864061.95,0.00,7471470.73,-200368.81,-1862.30,3607408.78,6999359.73,7042278.92,46662398.23,0.48,7471470.73,1340.0,344.6499939,363.84395685,461830.99,-199.66,-25719.91,,,,3.0,432.85998535,434.19906625,1298.58,-39.43,-4.02,,,
